,area_type,availability,location,size,society,total_sqft,bath,balcony,price
9782,Built-up  Area,Ready To Move,2nd Phase JP Nagar,2 BHK,SNbay G,1040,2,2,78
9783,Super built-up  Area,Ready To Move,Sarjapur,2 BHK,SNbay G,1205,2,2,29
9784,Super built-up  Area,Ready To Move,KSRTC Layout,3 BHK,SNbay G,1215,2,3,50
9785,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Maoma P,1135,2,2,58
9786,Super built-up  Area,Ready To Move,8th Phase JP Nagar,3 BHK,MBodsen,1224,2,2,48.95
9787,Built-up  Area,Ready To Move,Budigere,1 BHK,PrityTr,664,1,1,34
9788,Super built-up  Area,Ready To Move,Electronic City,3 BHK,Itvir M,1160,2,2,42
9789,Plot  Area,Ready To Move,Babusapalaya,2 Bedroom,Itvir M,1200,2,0,105
9790,Built-up  Area,18-Aug,Bommasandra Industrial Area,3 BHK,Itvir M,1220,2,1,35.2
9791,Super built-up  Area,Ready To Move,Bharathi Nagar,2 BHK,FoapeWa,1328,2,2,69
9792,Super built-up  Area,Ready To Move,BSM Extension,2 BHK,Raave E,975,2,2,45
9793,Built-up  Area,Ready To Move,Ambedkar Colony,3 BHK,RMcesa ,1907,2,1,200
9794,Built-up  Area,Ready To Move,Malleshwaram,2 BHK,Beesta ,900,2,1,72
9795,Super built-up  Area,Ready To Move,Banashankari 6th Stage,2 BHK,Beesta ,1330,2,2,80
9796,Super built-up  Area,Ready To Move,Rajiv Nagar,4 BHK,PuoodSk,2330,5,1,175
9797,Built-up  Area,Ready To Move,Munnekollal,3 BHK,JRarlPe,1222,3,2,95
9798,Plot  Area,Ready To Move,Dodsworth Layout,3 Bedroom,Prleaou,4446,3,2,410
9799,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Ahriaup,2100,3,1,135
9800,Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Adeatlm,3335,4,3,290
9801,Built-up  Area,18-Apr,Whitefield,3 Bedroom,Prtates,3150,3,1,290
9802,Plot  Area,Ready To Move,Jnana Ganga Nagar,3 Bedroom,Prtates,1320,2,1,95
9803,Plot  Area,Ready To Move,9th Phase JP Nagar,7 Bedroom,Prtates,820,7,3,140
9804,Plot  Area,Ready To Move,Shetty Halli,5 Bedroom,Prtates,8000,5,3,550
9805,Plot  Area,Ready To Move,Hennur Road,4 Bedroom,Prtates,2400,5,3,500
9806,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,SLnssPr,1330,2,2,46.55
9807,Plot  Area,Ready To Move,Hosur Road,4 Bedroom,KrineAq,2000,4,1,130
9808,Super built-up  Area,18-Jun,Electronic City Phase II,2 BHK,Coomee ,1244,2,1,55
9809,Super built-up  Area,Ready To Move,Konena Agrahara,2 BHK,EsadeNS,1000,2,1,50
9810,Super built-up  Area,18-May,Gunjur Palya,3 BHK,EsadeNS,1400,3,2,45
9811,Super built-up  Area,Ready To Move,Vignana Nagar,2 BHK,Phens G,1000,2,2,35
9812,Plot  Area,Ready To Move,Rajaji Nagar,2 Bedroom,Phens G,1056,1,0,250
9813,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Phens G,1250,2,2,50
9814,Super built-up  Area,19-Jun,Hebbal,4 BHK,Raard B,2470 - 2790,5,0,188
9815,Super built-up  Area,18-Aug,Jeevan bima nagar,2 BHK,Raard B,1225,2,2,48
9816,Super built-up  Area,19-Jun,Hebbal,4 BHK,Raard B,2790,5,3,198
9817,Super built-up  Area,Ready To Move,Indira Nagar,4 BHK,Raard B,2800,4,3,365
9818,Super built-up  Area,Ready To Move,Seegehalli,3 BHK,Niowshi,1683,3,3,80
9819,Built-up  Area,Ready To Move,Yelahanka,2 BHK,AdniaSk,1250,2,2,54
9820,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Maity W,1305,2,1,110
9821,Plot  Area,Ready To Move,Sarjapur  Road,3 Bedroom,Maity W,3009,3,1,331
9822,Super built-up  Area,Ready To Move,Kaggalipura,3 BHK,Baowsig,1150,2,1,57.5
9823,Built-up  Area,Ready To Move,Kaggadasapura,3 BHK,Clsto C,1654,3,3,70
9824,Carpet  Area,Ready To Move,Munivenkatppa Layout,4 BHK,Trntska,4500,3,0,225
9825,Super built-up  Area,18-May,Kadugodi,3 BHK,Alestrb,1890,4,3,125
9826,Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,Alestrb,1069,2,2,55
9827,Super built-up  Area,Ready To Move,Chandapura,2 BHK,KHityry,750,1,1,18.5
9828,Plot  Area,Ready To Move,Banashankari,4 Bedroom,KHityry,675,4,0,140
9829,Built-up  Area,17-Dec,Hormavu,3 Bedroom,KHityry,2400,3,1,177
9830,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,5 Bedroom,KHityry,1200,4,2,240
9831,Plot  Area,Ready To Move,Koramangala,4 Bedroom,KHityry,1410,2,0,280
9832,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1680,3,3,130
9833,Super built-up  Area,Ready To Move,Sadanand Nagar,3 BHK,Eladero,3500,4,2,500
9834,Super built-up  Area,18-Jul,Sarjapur  Road,3 BHK,PualeSk,1700,3,2,93.5
9835,Plot  Area,Ready To Move,Brindavan Layout,4 Bedroom,PualeSk,2200,2,0,150
9836,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Bhmesy ,1595,3,1,105
9837,Super built-up  Area,15-Nov,Hennur Road,3 BHK,Bhmesy ,1480,3,1,100
9838,Plot  Area,Ready To Move,Bethel Nagar,3 Bedroom,Bhmesy ,1092,3,1,95
9839,Super built-up  Area,19-Sep,Koramangala,3 BHK,Prood P,1866,4,2,245
9840,Super built-up  Area,Ready To Move,Hebbal,3 BHK,RMudeat,3895,3,2,390
9841,Super built-up  Area,Ready To Move,Banashankari,3 BHK,RMudeat,1683,3,2,115
9842,Super built-up  Area,Ready To Move,Dasanapura,2 BHK,Tavenew,545,2,1,22.34
9843,Super built-up  Area,Ready To Move,Banaswadi,2 BHK,Tavenew,1340,2,2,73
9844,Built-up  Area,21-Dec,"Judicial Layout, Kanakapura Road, ",3 BHK,Tavenew,1100,3,2,53
9845,Plot  Area,Ready To Move,Akshaya Nagar,1 Bedroom,Tavenew,2000,1,0,200
9846,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sriffhi,1185,2,2,56
9847,Super built-up  Area,18-Aug,Chandapura,2 BHK,SuVue S,1025,2,2,27.68
9848,Super built-up  Area,Ready To Move,Haralur Road,3 BHK,DSimaUl,1730,3,1,95
9849,Super built-up  Area,19-Sep,Hennur Road,3 BHK,Orens G,1450,3,1,88.6
9850,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Ceiti I,1862,4,1,110
9851,Plot  Area,Ready To Move,Sarjapur  Road,4 Bedroom,Adeatlm,4000,5,1,578
9852,Built-up  Area,Ready To Move,Old Madras Road,3 BHK,Brica E,2430,5,2,180
9853,Super built-up  Area,20-Sep,Hoodi,1 BHK,Ranuetz,783 - 943,1,0,40.55
9854,Super built-up  Area,Ready To Move,Chambenahalli,2 BHK,Ranuetz,1170,2,3,50
9855,Super built-up  Area,Ready To Move,B Narayanapura,2 BHK,Prionve,1075,2,2,50
9856,Super built-up  Area,Ready To Move,Kodichikkanahalli,2 BHK,Niiewin,1060,2,1,34
9857,Super built-up  Area,17-Jun,Sarjapur,2 BHK,Niiewin,850,2,2,32
9858,Super built-up  Area,Ready To Move,P&T Layout,2 BHK,Sashaa ,935,2,1,45.9
9859,Built-up  Area,Ready To Move,Gollarapalya Hosahalli,4 BHK,Mauner ,1905,3,1,86
9860,Built-up  Area,Ready To Move,8th Block Jayanagar,6 Bedroom,Mauner ,2000,6,3,300
9861,Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Aklia R,1125,2,1,47
9862,Plot  Area,Ready To Move,9th Phase JP Nagar,6 Bedroom,Aklia R,600,6,2,75
9863,Built-up  Area,Ready To Move,Chikkabanavar,4 Bedroom,Aklia R,1500,4,1,105
9864,Built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Malmser,1725,3,3,85
9865,Super built-up  Area,Ready To Move,Dodda Banaswadi,2 BHK,Malmser,1120,2,3,36
9866,Super built-up  Area,Ready To Move,Brookefield,3 BHK,Vaontos,1750,2,2,75
9867,Super built-up  Area,18-Jul,7th Phase JP Nagar,3 BHK,Vaontos,2000,3,2,77
9868,Built-up  Area,Ready To Move,Koramangala,3 BHK,Saa 2Ai,1745,3,3,98
9869,Plot  Area,Ready To Move,Bagalakunte,5 Bedroom,Saa 2Ai,750,3,1,95
9870,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Ayaya A,1270,2,2,55.25
9871,Super built-up  Area,Ready To Move,Iblur Village,5 BHK,Emine P,5384,5,3,420
9872,Super built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,NCensun,1180,2,2,72
9873,Built-up  Area,Ready To Move,Shanti Nagar,2 BHK,SwionMa,1130,2,1,75
9874,Super built-up  Area,18-Dec,Old Airport Road,4 BHK,Jaades ,2774,4,3,197
9875,Super built-up  Area,Ready To Move,Ardendale,3 BHK,SoystAm,1723,3,2,95
9876,Built-up  Area,Ready To Move,Mysore Road,2 BHK,PrntaEn,1175,2,2,70.5
9877,Super built-up  Area,Ready To Move,Ambalipura,3 BHK,Dimes E,1607,2,2,112
9878,Built-up  Area,18-May,Varanasi,2 BHK,Ocuil T,1334,2,1,62
9879,Built-up  Area,Ready To Move,Vishwapriya Layout,5 Bedroom,Ocuil T,2800,5,3,130
9880,Super built-up  Area,19-Mar,Bellandur,3 BHK,NiCodCa,1138,3,2,128
9881,Super built-up  Area,19-Dec,Bannerghatta,2 BHK,NiCodCa,1113,2,1,70
9882,Built-up  Area,Ready To Move,9th Phase JP Nagar,3 BHK,NaensGa,1300,2,2,58
9883,Plot  Area,Ready To Move,Judicial Layout,4 Bedroom,NaensGa,2400,4,1,350
9884,Built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,NaensGa,1200,2,2,60
9885,Super built-up  Area,Ready To Move,cooketown,3 BHK,NaensGa,1900,3,2,190
9886,Super built-up  Area,Ready To Move,Jakkur,4 BHK,Lecco C,5150,4,3,559
9887,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,5 Bedroom,Lecco C,1200,5,1,290
9888,Super built-up  Area,18-Dec,Whitefield,4 BHK,Goted U,2956,5,1,234
9889,Plot  Area,Ready To Move,Begur Road,5 Bedroom,Goted U,1100,5,1,165
9890,Super built-up  Area,18-May,Panathur,2 BHK,Prcesvy,1398,2,1,97
9891,Plot  Area,Ready To Move,Margondanahalli,2 Bedroom,Prcesvy,1152,1,0,66
9892,Plot  Area,Ready To Move,Rajarajeshwarinagar,4 Bedroom,Prcesvy,1200,5,1,325
9893,Super built-up  Area,Ready To Move,Nagavara,2 BHK,Prcesvy,1110,2,2,44.95
9894,Built-up  Area,Ready To Move, Devarachikkanahalli,2 BHK,Sarch M,1116,2,1,47
9895,Super built-up  Area,Ready To Move,Babusapalaya,2 BHK,ARngsd ,1061,2,1,33.84
9896,Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,ARngsd ,620,1,1,86.8
9897,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,ARngsd ,1300,2,2,52
9898,Built-up  Area,Ready To Move,Yelahanka,2 BHK,Shana S,1270,2,2,57
9899,Super built-up  Area,18-Apr,Peenya,2 BHK,Shana S,966,2,2,50
9900,Plot  Area,Ready To Move,AMS Layout,4 Bedroom,Shana S,1200,4,1,110
9901,Plot  Area,Ready To Move,Kodigehalli,4 Bedroom,Shana S,1320,4,3,249
9902,Super built-up  Area,Ready To Move,Iblur Village,4 BHK,Emine P,3596,5,1,297
9903,Super built-up  Area,18-May,Kathriguppe IV Phase,3 BHK,Emine P,1630,3,2,131
9904,Super built-up  Area,Ready To Move,Kodipalya,5 BHK,Emine P,600,6,3,72
9905,Plot  Area,Ready To Move,Ramchandrapuram,4 Bedroom,Emine P,600,4,2,60
9906,Super built-up  Area,Ready To Move,Amruthahalli,2 BHK,Veiewak,1202,2,1,65
9907,Plot  Area,Ready To Move,Pampa Extension,4 Bedroom,Veiewak,1200,4,2,250
9908,Built-up  Area,Ready To Move,Jakkur,2 BHK,Veiewak,1300,2,2,80
9909,Plot  Area,Ready To Move,Uttarahalli,6 Bedroom,Veiewak,1200,6,2,330
9910,Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1360,2,1,70
9911,Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Mileeou,1155,2,1,69.18
9912,Super built-up  Area,Ready To Move,Hosakerehalli,3 BHK,Taonte ,2378,3,1,310
9913,Super built-up  Area,Ready To Move,Hulimavu,2 BHK,MBrrySt,1011,2,2,38
9914,Built-up  Area,Ready To Move,HSR Layout,2 BHK,VaiewV ,1203,2,2,72
9915,Super built-up  Area,19-Dec,Hebbal,3 BHK,Raard B,1645,3,2,113
9916,Super built-up  Area,Ready To Move,Horamavu Agara,3 BHK,Honcyju,1364,2,3,50
9917,Plot  Area,19-Jan,Anekal,2 Bedroom,Honcyju,1200,1,1,36
9918,Built-up  Area,Ready To Move,KR Layout,1 BHK,Honcyju,1050,2,2,41
9919,Super built-up  Area,Ready To Move,Kothanur,3 BHK,Honcyju,1365,3,3,66
9920,Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsen,1252,3,3,70
9921,Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsan,1221,3,2,65
9922,Built-up  Area,Ready To Move,Panathur,2 BHK,DLhtsan,1065,2,1,58
9923,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Ayaya A,1270,2,1,55.25
9924,Built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,KVersuj,1032,2,2,45
9925,Super built-up  Area,Ready To Move,Frazer Town,4 BHK,KVersuj,2900,4,2,325
9926,Super built-up  Area,Ready To Move,Sector 2 HSR Layout,3 BHK,NDivaOl,1515,2,3,69
9927,Super built-up  Area,Ready To Move,Akshaya Vana,2 BHK,Daganva,1427,2,2,52
9928,Super built-up  Area,Ready To Move,Magadi Road,2 BHK,Daganva,940,2,2,50
9929,Plot  Area,18-Mar,Medahalli,5 Bedroom,Daganva,800,5,1,95
9930,Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1460,2,2,80
9931,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Adeatlm,2275,4,2,175
9932,Super built-up  Area,21-Sep,9th Phase JP Nagar,3 BHK,Vasisvi,1522,3,2,90
9933,Plot  Area,19-Jan,Basaveshwara Nagar Yelahanka,3 Bedroom,Vasisvi,3210,4,2,380
9934,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,MenueNo,1185,2,2,42.67
9935,Super built-up  Area,Ready To Move,1Hoysalanagar,13 BHK,MenueNo,5425,13,0,275
9936,Built-up  Area,Ready To Move,Banashankari,3 BHK,Bregae ,1800,3,2,125
9937,Super built-up  Area,17-May,Electronics City Phase 1,2 BHK,Bregae ,940,2,1,44
9938,Plot  Area,Ready To Move,Andrahalli,4 Bedroom,Bregae ,1200,4,2,135
9939,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Bregae ,1530,3,2,71
9940,Built-up  Area,Ready To Move,Gollahalli,2 BHK,Viine P,1050,2,1,48
9941,Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Prldsri,929,2,2,49
9942,Built-up  Area,Ready To Move,Banjara Layout,4 Bedroom,Prldsri,3750,5,3,145
9943,Super built-up  Area,Ready To Move,Whitefield,3 BHK,PaantPl,1530,3,3,75
9944,Plot  Area,Ready To Move,PC Palaya,2 Bedroom,PaantPl,900,2,1,48
9945,Super built-up  Area,Ready To Move,Vasanthapura,2 BHK,PaantPl,978,2,1,34.22
9946,Built-up  Area,Ready To Move,Sathya Sai Layout,4 BHK,Prowshi,4041,4,2,345
9947,Super built-up  Area,Ready To Move,Ambalipura,1 BHK,Prowshi,770,1,2,43.82
9948,Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,Prowshi,1066,2,3,55
9949,Super built-up  Area,Ready To Move,Electronic City,1 BHK,Palleon,635,1,0,28
9950,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Arria G,1015,2,1,45
9951,Built-up  Area,Ready To Move,Hebbal,2 BHK,AraraSa,1175,2,0,54.05
9952,Plot  Area,Ready To Move,Chikkabanavar,4 Bedroom,AraraSa,1200,4,2,130
9953,Super built-up  Area,18-May,Vidyaranyapura,2 BHK,AraraSa,1188,2,1,50
9954,Plot  Area,Ready To Move,Indira Nagar,5 Bedroom,AraraSa,2400,5,2,700
9955,Super built-up  Area,19-Oct,Soppahalli,1 BHK,AraraSa,620,1,1,25
9956,Built-up  Area,Ready To Move,Ejipura,2 BHK,Prsichi,1210,2,0,75
9957,Plot  Area,18-Apr,Attibele,3 Bedroom,Goe 2me,1000,3,1,90
9958,Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Suavea ,1500,2,1,99
9959,Plot  Area,Ready To Move,Electronic City,4 Bedroom,Aroveth,1800,3,2,190
9960,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,MenueNo,1185,2,2,43.66
9961,Built-up  Area,Ready To Move,Basavangudi,3 BHK,V2lasna,1600,3,3,130
9962,Super built-up  Area,Ready To Move,Gottigere,2 BHK,V2lasna,1100,2,1,28
9963,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Jatish ,1300,2,2,69.23
9964,Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,MSopsw ,1100,2,1,68
9965,Super built-up  Area,19-Apr,Ambalipura,2 BHK,Sisice ,860,2,1,28.93
9966,Super built-up  Area,18-Jun,Panathur,2 BHK,Sisice ,1007,2,1,64
9967,Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,SagasSa,1100,2,2,48
9968,Super built-up  Area,Ready To Move,Whitefield,2 BHK,SMuilan,1187,2,1,38
9969,Super built-up  Area,Ready To Move,R.T. Nagar,2 BHK,SMuilan,1150,2,2,72
9970,Super built-up  Area,Ready To Move,Nagavara,3 BHK,Vancyat,2400,3,2,252
9971,Super built-up  Area,18-Apr,Aavalahalli,2 BHK,Vancyat,1180,2,3,41.94
9972,Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1820,3,2,85.2
9973,Plot  Area,Ready To Move,Hennur Bande,6 Bedroom,PrityTr,1200,6,3,180
9974,Plot  Area,Ready To Move,Sector 1 HSR Layout,3 Bedroom,PrityTr,2400,6,2,775
9975,Super built-up  Area,Ready To Move,KR Puram,4 BHK,PrityTr,3628,4,1,246
9976,Built-up  Area,Ready To Move,Kodbisanhalli,3 BHK,KSideas,1430,3,2,70
9977,Super built-up  Area,21-Jan,Kanakpura Road,2 BHK,PrarePa,700,2,1,40
9978,Plot  Area,Ready To Move,Kattigenahalli,2 Bedroom,PrarePa,1200,1,0,70
9979,Super built-up  Area,20-Dec,Old Madras Road,2 BHK,Shmes O,1165,2,1,40.77
9980,Super built-up  Area,Ready To Move,Jalahalli,3 BHK,Shmes O,1569,3,2,118
9981,Super built-up  Area,Ready To Move,Basaveshwara Nagar Yelahanka,3 BHK,Shmes O,1950,4,3,95
9982,Plot  Area,Ready To Move,Jayanti Nagar,2 Bedroom,Shmes O,1200,3,1,70
9983,Super built-up  Area,Ready To Move,Yelahanka New Town,3 BHK,Shmes O,2437,3,2,125
9984,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Shmes O,950,2,2,46.7
9985,Built-up  Area,18-Jul,Bellandur,3 BHK,NiCodCa,1685,3,3,115
9986,Super built-up  Area,Ready To Move,Green Glen Layout,4 BHK,NiCodCa,3270,4,3,205
9987,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Maantr ,1314,2,2,110
9988,Super built-up  Area,18-May,New Gurappana Palya,3 BHK,Maantr ,1250,3,2,40
9989,Built-up  Area,Ready To Move,Virudhu Nagar,2 BHK,AmthaIn,1130,2,2,68
9990,Plot  Area,Ready To Move,Doddakannelli,6 Bedroom,AmthaIn,1200,9,3,122
9991,Plot  Area,Ready To Move,Sultan Palaya,6 Bedroom,AmthaIn,890,5,2,160
9992,Plot  Area,Ready To Move,kamanahalli main road,3 Bedroom,AmthaIn,857,3,2,95
9993,Super built-up  Area,Ready To Move,Whitefield,3 BHK,Santste,2247,3,1,145
9994,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Valdsic,1550,3,2,85
9995,Super built-up  Area,Ready To Move,Hoodi,3 BHK,SMaxyay,1715,2,2,100
9996,Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Koagati,1053,2,1,53
9997,Plot  Area,Ready To Move,Begur Road,3 Bedroom,Koagati,1200,3,0,50
9998,Plot  Area,Ready To Move,HBR Layout,3 Bedroom,Koagati,1800,2,1,230
9999,Built-up  Area,Ready To Move,Chikkabanavar,5 Bedroom,Koagati,2400,4,0,97
10000,Super built-up  Area,Ready To Move,Kodbisanhalli,2 BHK,Seityen,1245,1,3,60
10001,Super built-up  Area,Ready To Move,Koramangala,2 BHK,Proodt ,1320,2,1,160
10002,Plot  Area,Ready To Move,Whitefield,4 Bedroom,PrOakSi,3940,5,3,265
10003,Built-up  Area,Ready To Move,Thanisandra,3 BHK,Pronyt ,1241,2,1,65
10004,Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,BriumMi,2980,4,2,260
10005,Plot  Area,Ready To Move,7th Block Koramangala,6 Bedroom,BriumMi,600,5,3,130
10006,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Vaw 1il,1090,2,2,57
10007,Super built-up  Area,Ready To Move,Byrasandra,3 BHK,ViisePa,1390,2,1,50
10008,Plot  Area,Ready To Move,Sampangi Rama Nagar,8 Bedroom,ViisePa,600,4,3,175
10009,Super built-up  Area,Ready To Move,Jakkur Plantation,3 BHK,Leora D,2750,5,2,275
10010,Super built-up  Area,21-Dec,Kanakpura Road,3 BHK,PrarePa,1100,2,1,52.97
10011,Built-up  Area,Ready To Move,Koramangala,2 BHK,HawerMa,1350,2,2,103
10012,Built-up  Area,Ready To Move,Prakash Nagar,2 BHK,HawerMa,800,2,2,55
10013,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Klark L,1787,3,2,116
10014,Built-up  Area,Ready To Move,BTM Layout,3 BHK,Klark L,2400,3,2,220
10015,Super built-up  Area,Ready To Move,Haralur Road,4 BHK,Oznzaes,3700,4,2,325
10016,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Klark L,1691,3,2,93.01
10017,Super built-up  Area,18-Jul,Bhoganhalli,4 BHK,Rosha I,2119,4,3,111
10018,Plot  Area,18-Mar,Chikka Tirupathi,3 Bedroom,Theanmp,2325,3,1,95
10019,Plot  Area,Ready To Move,Thyagaraja Nagar,5 Bedroom,Theanmp,570,5,0,80
10020,Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1896,3,2,102
10021,Super built-up  Area,17-Oct,Banashankari Stage V,3 BHK,Naiewre,1540,3,2,48.51
10022,Super built-up  Area,Ready To Move,Cambridge Layout,2 BHK,Naiewre,1244,2,2,95
10023,Super built-up  Area,Ready To Move,Hormavu,3 BHK,Naandit,1365,2,2,65
10024,Super built-up  Area,18-May,Thanisandra,1 BHK,SaSkyBl,580,1,1,27.5
10025,Super built-up  Area,18-Dec,Hebbal,3 BHK,Magiaya,1355,3,2,83.87
10026,Plot  Area,Ready To Move,Bharat Nagar,3 Bedroom,Magiaya,1500,4,2,180
10027,Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,HMityld,1513,2,3,62
10028,Super built-up  Area,Ready To Move,Banashankari,2 BHK,HMityld,1175,2,1,41.13
10029,Super built-up  Area,17-Jan,Thanisandra,3 BHK,Soitya ,2087,4,2,139
10030,Super built-up  Area,21-Dec,Talaghattapura,3 BHK,Sodgere,2273,3,2,145
10031,Super built-up  Area,19-May,Thanisandra,3 BHK,G conTh,2050,3,2,150
10032,Built-up  Area,Ready To Move,Garebhavipalya,2 Bedroom,G conTh,1200,2,1,75
10033,Super built-up  Area,Ready To Move,Whitefield,2 BHK,G conTh,1190,2,3,59
10034,Super built-up  Area,Ready To Move,Kodigehalli,4 BHK,G conTh,600,3,2,85
10035,Super built-up  Area,18-Apr,Marathahalli,2 BHK,G conTh,1019,2,2,49.86
10036,Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,1830,3,2,133
10037,Plot  Area,Ready To Move,Channasandra,7 Bedroom,Prtanha,4278,7,1,299
10038,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,MamelKa,1028,2,1,56
10039,Built-up  Area,Ready To Move,Old Madras Road,2 BHK,Sastaat,1300,2,2,100
10040,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Maoma P,1160,2,1,67
10041,Super built-up  Area,Ready To Move,Mahadevpura,3 BHK,Maoma P,1505,3,2,78
10042,Super built-up  Area,Ready To Move,Kogilu,2 BHK,Maoma P,1250,2,1,55.55
10043,Plot  Area,Ready To Move,Ramchandrapuram,1 Bedroom,Maoma P,400,2,1,50
10044,Super built-up  Area,Ready To Move,Sarjapur,2 BHK,Maoma P,1175,2,1,41.68
10045,Super built-up  Area,Ready To Move,Janatha Colony,2 BHK,Smrryny,1100,2,2,57.6
10046,Super built-up  Area,Ready To Move,Vishwanatha Nagenahalli,3 BHK,PrBayGa,2159,3,2,120
10047,Super built-up  Area,18-May,Devanahalli,2 BHK,Jurdsig,1230,2,1,56.45
10048,Plot  Area,Ready To Move,Gkvk Layout,3 Bedroom,Jurdsig,1200,4,2,180
10049,Built-up  Area,Ready To Move,Channasandra Layout,5 Bedroom,Jurdsig,3100,6,1,165
10050,Super built-up  Area,18-Jun,Old Madras Road,5 BHK,Brica E,4500 - 5540,7,0,287
10051,Built-up  Area,Ready To Move,Hegganahalli,1 Bedroom,Brica E,1200,1,0,48
10052,Super built-up  Area,Ready To Move,Dodsworth Layout,2 BHK,Chisei ,1340,2,1,71
10053,Super built-up  Area,Ready To Move,Banashankari,3 BHK,Vimesar,1750,2,2,89
10054,Super built-up  Area,Ready To Move,Banashankari Stage II,2 BHK,Vimesar,1400,2,1,100
10055,Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,Vimesar,1350,3,0,60
10056,Super built-up  Area,Ready To Move,RMV Extension,3 BHK,Reion M,1675,3,3,62
10057,Super built-up  Area,21-Dec,Thanisandra,2 BHK,Bhe 2ko,1340,2,1,66.33
10058,Built-up  Area,Ready To Move,Malleshwaram,2 Bedroom,Bhe 2ko,600,1,0,68
10059,Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Vandak ,1276,2,2,76
10060,Super built-up  Area,Ready To Move,Ramagondanahalli,3 BHK,Srdor S,1738,2,3,76
10061,Super built-up  Area,Ready To Move,"Hoodi Circle, ",2 BHK,Srdor S,1190,2,2,59.9
10062,Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1128,2,1,65.45
10063,Super built-up  Area,Ready To Move,Veersandra,2 BHK,Shnto F,1250,2,1,55
10064,Built-up  Area,Ready To Move,ITI Layout,2 BHK,Soarkge,1450,2,2,90
10065,Super built-up  Area,Ready To Move,Kudlu,2 BHK,MRvar S,1084,2,1,53
10066,Built-up  Area,Ready To Move,Kaggadasapura,4 BHK,MRvar S,2150,4,2,90
10067,Built-up  Area,Ready To Move,Koramangala,4 Bedroom,MRvar S,6000,4,0,625
10068,Plot  Area,Ready To Move,Nagarbhavi,4 Bedroom,MRvar S,600,3,0,77
10069,Super built-up  Area,Ready To Move,Hosur Road,2 BHK,Kelmsoy,1250,2,2,65
10070,Plot  Area,Ready To Move,Seegehalli,3 Bedroom,Kelmsoy,2400,4,1,240
